n_components,reconstruction_error,alpha,l1_ratio,topics,time
2,137.12064145306496,5,0.0,"['windows', 'drive', 'card', 'thanks', 'scsi', 'does', 'know', 'use', 'program', 'pc', 'like', 'problem', 'software', 'files', 'using', 'help', '00', 'ram', 'mac', 'hi', 'disk', 'need', 'run', 'bus', 'running', 'mail', 'advance', 've', 'work', 'new', 'file', 'hard', 'bit', 'want', 'window', 'memory', 'mode', 'set', 'version', 'ms', 'ide', 'machine', 'controller', 'used', 'data', 'graphics', 'server', 'looking', 'computer', 'monitor', 'floppy', 'board', 'email', 'color', 'chip', 'information', 'mb', '16', 'video', 'ftp', 'drives', 'speed', 'list', 'old', 'tell', 'bios', 'cd', 'power', 'os', 'got', 'format', 'available', 'motherboard', 'apple', 'info', 'works', 'cpu', 'phone', 'able', 'programs', 'sun', 'package', 'try', 'message', 'price', 'drivers', 'number', 'backup', 'local', 'possible', 'seen', 'problems', 'fine', 'wondering', 'interested', 'driver', 'vga', '386', 'reply', '486']",0.7476750000059837
2,137.12064145306496,5,0.25,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.8158747529960237
2,137.12064145306496,5,0.5,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.9831572510011028
2,137.12064145306496,5,0.75,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.5678079539939063
2,137.12064145306496,5,1.0,"['windows', 'drive', 'thanks', 'card', 'dos', 'scsi', 'file', 'pc', 'software', 'program', 'disk', 'use', 'files', 'mac', 'mail', 'monitor', 'advance', 'hi', 'graphics', 'video', 'using', 'window', 'help', 'memory', 'problem', 'ide', 'run', 'ftp', 'computer', 'running', 'driver', 'controller', 'looking', 'mouse', 'bus', 'drivers', 'need', 'screen', 'version', 'ram', 'data', 'email', 'machine', 'color', 'info', 'work', 'appreciated', 'os', 'ms', 'drives', 'bit', 'board', 'mode', 'format', 'display', 'hard', 'available', 'modem', 'port', 'floppy', 'unix', 'server', 'printer', 'information', 'vga', 'does', 'image', 'application', 'ibm', 'know', 'meg', 'new', 'hardware', 'cards', 'sale', 'disks', 'serial', 'anybody', 'speed', 'package', 'copy', '00', 'apple', 'chip', 'motherboard', 'problems', 'price', 'used', 'mb', '486', 'access', 'hello', 'bios', 'microsoft', 'code', 'send', 'hd', 'isa', 'programs', 'cd']",15.205607217998477
2,137.12064145306496,10,0.0,"['windows', 'thanks', 'drive', 'card', 'know', 'file', 'use', 'like', 'pc', 'does', 'scsi', 'software', 'program', 'problem', 'mail', 'help', 'files', 'using', 'running', 'run', 'hi', 'new', 've', 'ram', 'looking', 'need', 'bit', 'work', 'advance', 'ftp', 'graphics', 'used', 'disk', 'computer', 'mac', 'bus', 'list', 'ms', 'want', 'color', 'ide', 'video', 'works', 'hard', 'image', '00', 'window', 'memory', 'jpeg', 'space', 'drives', 'data', 'screen', 'speed', 'email', 'chip', 'machine', 'info', 'interested', 'phone', 'power', 'tell', 'unix', 'set', 'serial', 'gif', 'key', '386', 'able', 'available', 'information', '20', 'apple', 'line', 'floppy', 'sale', 'board', 'mode', 'package', 'vga', 'possible', 'driver', 'got', 'appreciated', 'sun', 'anybody', '24', 'version', 'server', 'monitor', 'disks', 'fine', 'motherboard', 'os', 'access', 'error', 'price', '25', 'address', 'modem']",0.4806313199951546
2,137.12064145306496,10,0.25,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.48230622000119183
2,137.12064145306496,10,0.5,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.645551790992613
2,137.12064145306496,10,0.75,"['ÿhooked', 'countryside', 'countryclub', 'country', 'countries', 'countless', 'countires', 'counting', 'counties', 'countess', 'counterweighting', 'counterweight', 'counterterrorism', 'counterstroke', 'countersteers', 'countersteering', 'countersteered', 'countrymen', 'counts', 'counselors', 'county', 'coupond', 'coupon', 'couplings', 'coupling', 'couples', 'couplers', 'coupler', 'coupled', 'couple', 'coupld', 'coupes', 'coupe', 'coup', 'couonty', 'couold', 'countersteer', 'countersigned', 'counters', 'counterproposal', 'counterblockade', 'counterbalanced', 'counterbalance', 'counterassault', 'counterargument', 'counteracts', 'counteracting', 'counteract', 'counter_clockwise', 'counter', 'countenance', 'counted', 'countdown', 'countach', 'countable', 'counterclaim', 'counterclockwise', 'countercyclic', 'counterflame', 'counterproductive', 'counterpoint', 'counterparts', 'counterpart', 'countermeasure', 'countering', 'counterfeits', 'countered', 'counterfeiters', 'counterfeited', 'counterfeit', 'counterfactual', 'counterexamples', 'counterexample', 'coupons', 'coupound', 'coups', 'cousin', 'covalent', 'cov', 'couurse', 'coutry', 'coutnry', 'couties', 'coutesy', 'coutcome', 'cout', 'coustomers', 'coustomer', 'coustom', 'coustic', 'cousins', 'cousinetc', 'covalt', 'covcenant', 'covdy', 'coverage', 'covering', 'covereth', 'covered', 'coverare']",0.5147479049919639
2,137.12064145306496,10,1.0,"['windows', 'drive', 'thanks', 'card', 'dos', 'scsi', 'file', 'pc', 'software', 'program', 'disk', 'use', 'files', 'mac', 'mail', 'monitor', 'advance', 'hi', 'graphics', 'video', 'using', 'window', 'help', 'memory', 'problem', 'ide', 'run', 'ftp', 'computer', 'running', 'driver', 'controller', 'looking', 'mouse', 'bus', 'drivers', 'need', 'screen', 'version', 'ram', 'data', 'email', 'machine', 'color', 'info', 'work', 'appreciated', 'os', 'ms', 'drives', 'bit', 'board', 'mode', 'format', 'display', 'hard', 'available', 'modem', 'port', 'floppy', 'unix', 'server', 'printer', 'information', 'vga', 'does', 'image', 'application', 'ibm', 'know', 'meg', 'new', 'hardware', 'cards', 'sale', 'disks', 'serial', 'anybody', 'speed', 'package', 'copy', '00', 'apple', 'chip', 'motherboard', 'problems', 'price', 'used', 'mb', '486', 'access', 'hello', 'bios', 'microsoft', 'code', 'send', 'hd', 'isa', 'programs', 'cd']",15.45035969100718
